breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Cesky Terrier,https://dogtime.com/dog-breeds/cesky-terrier,4,5,4,4,3,3,3,3,5,3,2,3,3,1,1,4,5,4,2,3,4,3,3,2,3,3,3,2,3,3,5,Terrier Dogs,"10 inches to 1 foot, 1 inch tall at the shoulder",13 to 30 pounds,10 to 15 years,"The Cesky Terrier, also called the Bohemian Terrier, is a Czech dog breed that descends from the Scottish Terrier and Sealyham Terrier. The Cesky Terrier was created to hunt vermin, but with their loving personality, moderate exercise needs, and small size, they make for a great companion dog, too.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1483197146-e1698431289792.jpg?w=1024
Chabrador,https://dogtime.com/dog-breeds/chabrador,3,4,2,4,3,4,1,3,4,4,2,2,4,4,3,4,4,3,3,3,2,4,4,4,3,3,4,3,4,3,4,Mixed Breed Dogs,18 to 24 inches,45 to 80 pounds,9 to 13 years,"The Chabrador is a mixed breed dog–a cross between the Chow Chow and Labrador Retriever dog breeds. Loyal, friendly, and independent, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/chabrador-mixed-dog-breed-pictures-cover.jpg?w=760
Cheagle,https://dogtime.com/dog-breeds/cheagle,3,4,4,4,1,1,2,3,5,3,3,2,3,3,1,5,3,4,2,3,2,4,3,4,4,3,4,4,4,3,4,Mixed Breed Dogs,9 to 14 inches ,9 to 20 pounds ,10 to 14 years ,"The Cheagle is a delightfully quirky hybrid breed that packs a big personality into a portable pint-sized pup. Created by mixing the sassy Chihuahua with the merry Beagle, these spunky little dogs range from 10-15 inches tall and tip the scales at 15-25 pounds. With their compact size yet energetic dispositions, Cheagles make ideal city-dwelling companions for active owners. Cheagles go by several names, including Beagle Chi, Chi-Bea, Beagle Chihuahua mix, and Chibeagle. ",https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-1255664847-e1712430136812.jpg?w=1024
Chesapeake Bay Retriever,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,3,1,1,3,2,4,4,3,5,3,1,1,4,5,3,5,4,4,3,3,3,4,3,3,3,4,5,5,5,5,4,Sporting Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",55 to 80 pounds,10 to 12 years,"The Chesapeake Bay Retriever is a versatile and hardworking breed known for its exceptional hunting and retrieving abilities. With a muscular and athletic build, this breed is perfectly suited for sporting. Their keen sense of smell and sharp instincts make them outstanding trackers, capable of locating game even in challenging environments.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-1351309778-e1691157319495.jpg?w=1024
Chi Chi,https://dogtime.com/dog-breeds/chi-chi,3,4,2,4,2,2,3,3,3,3,2,3,3,2,1,4,4,4,2,3,3,4,3,3,4,2,4,4,4,3,4,Mixed Breed Dogs,5 to 12 inches,4 to 11 pounds,11 to 20 years,"The Chi-Chi is a hybrid companion dog that blends the unique look of the Chinese Crested with the sassy spirit of the Chihuahua. These diminutive yet spirited canines can inherit either the hairless or coated variety from their Crested parent, boasting a sleek, low-shed coat and a well-proportioned frame.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-1154953357-e1716339985188.jpg?w=1024
Chi-Poo,https://dogtime.com/dog-breeds/chi-poo,4,5,5,5,4,2,3,4,5,5,3,3,2,2,1,3,2,3,2,4,5,5,3,3,3,3,3,3,2,2,4,Mixed Breed Dogs,5 to 15 inches ,5 to 20 pounds ,12 to 15 years ,"The Chi-Poo is an adorable and cuddly crossbreed resulting from the mix of a Chihuahua and typically a Miniature Poodle. Weighing in typically between 5 to 15 pounds and standing at around 6 to 10 inches tall, Chi-Poos boast a compact yet sturdy build, ideal for households seeking a small-sized canine companion. Their coat varies in texture and color, often inheriting the hypoallergenic qualities of the Poodle, making them suitable for allergy sufferers.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/GettyImages-1176486702-e1710811043816.jpg?w=1024
Chigi,https://dogtime.com/dog-breeds/chigi,3,3,4,5,2,3,2,4,5,5,2,2,3,4,1,5,3,3,1,3,4,4,2,3,2,3,4,4,4,4,4,Mixed Breed Dogs,7 to 12 inches,10 to 20 pounds,12 to 14 years ,"The Chigi is a mixed breed dog — a cross between the Chihuahua and Corgi dog breeds. While they may be small, they’re very alert, affectionate, and playful. These pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/chigi-mixed-dog-breed-pictures-cover.jpg?w=760
Chihuahua,https://dogtime.com/dog-breeds/chihuahua,3,5,4,5,1,1,2,4,5,5,2,2,2,2,1,5,2,3,1,3,4,4,3,3,3,2,3,3,2,1,4,Companion Dogs,6 inches to 9 inches tall at the shoulder,3 to 6 pounds,10 to 18 years,"The Chihuahua is a pint-sized powerhouse with a big personality. These tiny dogs, weighing in at just 3 to 6 pounds, are known for their feisty attitude, loyalty, and love for attention. Despite their small size, Chihuahuas are surprisingly active and can be quite playful. They make excellent companions for people of all ages and lifestyles. This breed loves nothing more than being with their people — even novice pet parents — and requires a minimum of grooming and exercise. They make excellent apartment dogs who’ll get along with the whole family. Just make sure any children who approach know how to play gently with a small dog. ",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1329412827-e1701097258260.jpg?w=1024
Chilier,https://dogtime.com/dog-breeds/chilier,3,4,2,4,2,2,2,4,4,4,4,3,3,2,3,4,4,3,2,3,2,4,3,3,3,2,4,4,4,3,4,Mixed Breed Dogs,8 to 12 inches,6 to 12 pounds,12 to 16 years,"The Chilier, a newer crossbreed, emerges from the mixing of two beloved breeds. This breed is a hybrid of the Cavalier King Charles Spaniel and the Chihuahua. Despite their small stature, Chiliers possess a significant personality, making them a lovely companion adaptable to various lifestyles.",https://dogtime.com/wp-content/uploads/sites/12/2022/11/Chilier.jpg?w=760
Chinese Crested,https://dogtime.com/dog-breeds/chinese-crested,3,5,3,5,1,1,3,4,4,5,4,4,2,2,1,2,5,2,2,3,4,3,4,3,3,1,2,2,1,2,3,Companion Dogs,"11 inches to 1 foot, 1 inch tall at the shoulder",Up to 12 pounds,10 to 14 years,"Chinese Crested dogs are a small, hairless breed known for their affectionate and playful personalities, as well as their distinctive appearance. Chinese Cresteds are the perfect couch potato companions. They can read your mind and will lie in bed for hours without moving a muscle. Despite their laziness, Chinese Cresteds are athletic dogs. They can jump surprisingly tall fences and compete in agility. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1421387129-e1692205550412.jpg?w=1024
Chinese Shar-Pei,https://dogtime.com/dog-breeds/chinese-shar-pei,3,4,2,2,4,2,1,2,2,2,1,2,3,5,2,5,1,4,3,3,3,2,5,2,5,2,2,2,1,3,1,Working Dogs,"1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder",40 to 55 pounds,8 to 12 years,"Though the Chinese Shar-Pei is the 134th breed recognized by the American Kennel Club, the dog breed has been around for hundreds of years. They were developed to guard, hunt, and herd. Unfortunately, the breed was later used for fighting. Today, they’re also known for their characteristic short, bristly coat, loose, wrinkled skin, and devotion to their family.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-597227541-e1695135121879.jpg?w=1024
Chinook,https://dogtime.com/dog-breeds/chinook,3,4,1,5,1,5,4,5,5,5,5,4,3,5,1,2,4,3,4,3,4,5,3,2,2,2,3,3,3,3,4,Working Dogs,"1 foot, 9 inches to 2 feet, 3 inches tall at the shoulder",55 to 70 pounds,12 to 15 years,"The Chinook (pronounced Sha-Nook) is a rare sled dog breed that originated in the White Mountains of New Hampshire. In the early 1900s, Arthur Treadwell Walden purposely bred this athletic and hardy dog to assist in hauling freight across the harsh New England winters. ",https://dogtime.com/wp-content/uploads/sites/12/2024/06/GettyImages-1327020064-e1717727230383.jpg?w=1024
Chion,https://dogtime.com/dog-breeds/chion,3,4,3,3,2,2,3,3,5,3,3,2,3,2,2,3,4,4,2,3,3,3,4,3,4,1,3,4,3,2,4,Mixed Breed Dogs,5 to 11 inches,4 to 11 pounds,10 to 15 years,"The Chion is a mixed breed dog — a cross between the Chihuahua and Papillon dog breeds. Petite, playful, and loyal, these pups inherited some of the best qualities from both of their parents",https://dogtime.com/wp-content/uploads/sites/12/2020/01/chion-mixed-dog-breed-pictures-cover.jpg?w=760
Chipin,https://dogtime.com/dog-breeds/chipin,3,5,4,5,1,1,2,3,5,4,2,2,3,2,1,5,3,4,1,3,4,3,2,3,2,3,4,4,3,2,5,Mixed Breed Dogs,8 to 12 inches ,5 to 15 pounds ,10 to 14 years ,"The Chipin is a tiny and lively crossbreed that melds the sassy Chihuahua with the determined Miniature Pinscher. This petite hybrid has a spunky personality that shines through their compact, sturdy frame. With a confident walk and eyes that sparkle with mischief, the Chipin makes a devoted companion dog. ",https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-1335110272-e1714585673873.jpg?w=1024
Chiweenie,https://dogtime.com/dog-breeds/chiweenie,3,5,3,4,2,1,4,3,4,2,3,2,3,1,1,5,3,4,1,3,2,4,2,3,5,2,4,4,2,4,5,Mixed Breed Dogs,6 to 10 inches,5 to 12 pounds,12 to 16 years,"The Chiweenie, a mixed-breed dog created by crossing the Chihuahua and Dachshund dog breeds, is compact, energetic, and loyal. These pups inherited some of the best traits from both of their parents. Chiweenies are also known by several names, including Choxie, Weeniehuahua, the German Taco, and the Mexican Hot Dog.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-1500430783-e1692662779466.jpg?w=1024
Chorkie,https://dogtime.com/dog-breeds/chorkie,3,5,5,5,1,1,2,3,4,3,3,2,2,2,1,3,3,2,1,3,3,3,2,2,4,2,4,4,3,3,5,Mixed Breed Dogs,6 to 9 inches ,8 to 15 pounds ,12 to 15 years ,"The Chorkie is a loyal and adorable small dog hybrid created by mixing the spirited Chihuahua with the loving Yorkshire Terrier. These tiny dogs typically stand just 5-10 inches tall at the shoulder and only weigh between 4-10 pounds once fully grown. With their small size, moderate exercise needs, and minimal shedding, Chorkies make ideal apartment or condo dogs. Their coats can be a range of colors like black, tan, blue, or steel gray.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-854682366-e1713554222346.jpg?w=1024
Chow Chow,https://dogtime.com/dog-breeds/chow-chow,3,3,2,2,5,5,2,1,2,1,1,1,3,1,3,1,2,4,4,2,2,1,5,2,1,2,2,2,2,2,1,Working Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",40 to 70 pounds,12 to 15 years,"The Chow Chow is an ancient medium-to-large-sized working dog breed that originated in China. Known for their lion-like appearance and distinctive blue-black tongue, this unique dog has a rich history that dates back thousands of years. They originally served various purposes, including hunting, guarding, and pulling carts. Today, people primarily know them as loyal companions and family pets. These regal dogs have a unique appearance characterized by their sturdy build, a lion-like mane, and a thick double coat that comes in various colors, including red, black, blue, cinnamon, and cream.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/GettyImages-91735840-e1691246757938.jpg?w=1024
Chow Shepherd,https://dogtime.com/dog-breeds/chow-shepherd,3,3,2,4,2,5,4,3,3,3,2,2,3,5,2,1,3,2,4,3,3,3,3,3,2,3,5,5,4,5,4,Mixed Breed Dogs,22 to 26 inches,45 to 90 pounds ,12 to 15 years ,"The Chow Shepherd is a mixed breed dog–a cross between the Chow Chow and German Shepherd dog breeds. Medium to large in size, protective, and playful, these pups inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/chow-shepherd-mixed-dog-breed-pictures-cover.jpg?w=760
Chug,https://dogtime.com/dog-breeds/chug,3,5,3,3,3,2,3,4,5,4,3,3,3,4,2,4,4,4,1,3,3,3,3,2,2,2,4,4,3,3,4,Mixed Breed Dogs,10 to 14 inches,10 to 20 pounds,10 to 13,"The Chug, a delightful and affectionate mixed dog breed, is a cross between the Chihuahua and the Pug. This small-sized dog is often characterized by its charming appearance, featuring a compact body, a short snout, and expressive eyes. Chugs typically have a short, smooth coat that can come in various colors, and their overall appearance often combines the characteristics of both parent breeds. They are typically outgoing and love being the center of attention, making them excellent companions for families and individuals alike.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/GettyImages-490935941-e1695663470138.jpg?w=1024
Chusky,https://dogtime.com/dog-breeds/chusky,3,2,2,3,3,5,2,4,4,4,3,3,3,5,2,2,3,3,3,3,3,4,3,3,4,2,4,4,3,4,4,Mixed Breed Dogs,18 to 23 inches,40 to 65 pounds,10 to 13 years,"The Chusky is a mixed breed dog — a cross between the Chow Chow and Siberian Husky dog breeds. Curious, headstrong, and loving, these dogs inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/chusky-mixed-dog-breed-pictures-cover.jpg?w=760
Cirneco dell’Etna,https://dogtime.com/dog-breeds/cirneco-delletna,3,4,3,3,3,3,3,4,5,5,4,3,3,2,1,4,5,2,3,3,3,3,2,4,3,1,3,4,2,3,4,Companion Dogs,17 to 20 inches,17 to 26 pounds,12 to 14 years,"The Cirneco dell’Etna (Pronounced “cheer-NECK-oh del et-na”) is a purebred dog from the island of Sicily. Gentle, alert, and independent, these pups have some of the best traits of any dog breed around today. Cirneco dell’Etnas go by many other names, including Cirneco, Sicilian Hound, Sicilian Greyhound, Sicilian Rabbit Hound, and Sicilian Rabbit Dog. These dogs can make great pets and show dogs, and you may find them at local shelters or rescues. Remember, it’s always better to adopt and not shop!",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-873593792-e1694477734169.jpg?w=1024
Clumber Spaniel,https://dogtime.com/dog-breeds/clumber-spaniel,4,5,5,4,2,5,2,4,5,3,4,3,4,5,5,1,2,5,3,4,4,3,5,5,1,4,3,3,1,2,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",55 to 85 pounds,12 to 12 years,"The Clumber Spaniel, a distinguished member of the spaniel family, gained attention for their distinctive appearance, gentle demeanor, and unwavering loyalty. The breed originated in England, particularly within the Clumber Park estate, where the Duke of Newcastle selectively bred them in the 18th century for their exceptional hunting abilities. With their robust build and powerful scenting capabilities, the Clumber Spaniel served primarily as a proficient bird dog, adept at flushing and retrieving game from dense undergrowth. While still valued for their hunting prowess, Clumbers have also gained recognition as a beloved family companion, cherished for their affectionate nature and laid-back temperament.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-96823791-e1698679241418.jpg?w=1024
Cockalier,https://dogtime.com/dog-breeds/cockalier,3,4,4,4,2,2,2,4,5,5,4,3,3,2,1,4,4,3,2,3,4,4,2,3,2,2,4,4,2,4,5,Mixed Breed Dogs,12 to 15 inches,10 to 28 pounds,12 to 15 years,"Friendly, gentle, and intelligent, the Cockalier is a rising star in the dog world. A hybrid breed, these pups inherited some of the best traits from both of their parents. You may find these small dogs in shelters and breed-specific rescues, so remember to always prioritize adoption.",https://dogtime.com/wp-content/uploads/sites/12/2024/04/GettyImages-177312500-e1714149140402.jpg?w=1024
Cockapoo,https://dogtime.com/dog-breeds/cockapoo,4,4,5,4,3,4,4,5,5,4,5,4,2,1,1,3,2,3,2,3,4,4,2,3,2,3,4,3,3,3,5,Hybrid Dogs,"From 1 foot, 3 inches tall at the shoulder",Starts at 19 pounds,12 to 15 years,"The Cockapoo is a cross between the Poodle and Cocker Spaniel breeds. A small dog with the personality of a big clown, the Cockapoo dog is perhaps the first of the “designer dogs” (not a purebred dog breed), dating back to the 1960s rather than just a few years ago. Thanks to their curly or wavy coats and big eyes, they often look like teddy bears. Cockapoos have the friendly temperament of the Cocker Spaniel and the hypoallergenic coat of the Poodle. They come in various sizes, depending on the Poodle parent, and they exhibit a wide range of coat colors and textures. While brown and cream are the most common, merle, blue, and black Cockapoos are rarer. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1207034679-1.jpg?w=1024
